MaskImageName,Image,ImageName,LabelMID,LabelName,BoxID,BoxXMin,BoxXMax,BoxYMin,BoxYMax
a1fbcc41d27c2213_m01599_9a243f08.png,a1fbcc41d27c2213,a1fbcc41d27c2213.jpg,/m/01599,Beer,9a243f08,0.12385299999999999,0.784404,0.088193,0.9985780000000001
5ee03b187a08d7a4_m01bl7v_f2364b30.png,5ee03b187a08d7a4,5ee03b187a08d7a4.jpg,/m/01bl7v,Boy,f2364b30,0.19733900000000001,0.796009,0.05,0.9985290000000001
ffeac105c9e17568_m03k3r_02296477.png,ffeac105c9e17568,ffeac105c9e17568.jpg,/m/03k3r,Horse,2296477,0.033259,0.9135260000000001,0.594118,0.9985290000000001
b524bb1b17ed5c1e_m04yx4_797529c0.png,b524bb1b17ed5c1e,b524bb1b17ed5c1e.jpg,/m/04yx4,Man,797529c0,0.04646,0.9977879999999999,0.0162,0.998527
e2e20a65923b6e7e_m0bt9lr_68884192.png,e2e20a65923b6e7e,e2e20a65923b6e7e.jpg,/m/0bt9lr,Dog,68884192,0.057522000000000004,0.9977879999999999,0.053019000000000004,0.998527
683fe6ecb7f28838_m080hkjn_0b83166e.png,683fe6ecb7f28838,683fe6ecb7f28838.jpg,/m/080hkjn,Handbag,0b83166e,0.06415900000000001,0.946903,0.060472000000000005,0.998525
5655312e24c0dd08_m05r655_bf26bc89.png,5655312e24c0dd08,5655312e24c0dd08.jpg,/m/05r655,Girl,bf26bc89,0.170354,0.918142,0.103245,0.998525
c1e5f8627fb1473d_m05r655_84a5ec18.png,c1e5f8627fb1473d,c1e5f8627fb1473d.jpg,/m/05r655,Girl,84a5ec18,0.238938,0.769912,0.146018,0.998525
56df78dac066df20_m03k3r_e999f220.png,56df78dac066df20,56df78dac066df20.jpg,/m/03k3r,Horse,e999f220,0.143805,0.663717,0.377581,0.998525
8118f50240fef888_m01bl7v_1ab862cb.png,8118f50240fef888,8118f50240fef888.jpg,/m/01bl7v,Boy,1ab862cb,0.412393,0.8846149999999999,0.0030489999999999996,0.998476
fe196f1e934d459b_m04yx4_360b6df0.png,fe196f1e934d459b,fe196f1e934d459b.jpg,/m/04yx4,Man,360b6df0,0.108333,0.997917,0.0015630000000000002,0.9984379999999999
471b0ef14402b67b_m01bl7v_8536ec47.png,471b0ef14402b67b,471b0ef14402b67b.jpg,/m/01bl7v,Boy,8536ec47,0.0125,0.997917,0.065625,0.9984379999999999
2d4d36eeb26981c3_m04_sv_da0c15b9.png,2d4d36eeb26981c3,2d4d36eeb26981c3.jpg,/m/04_sv,Motorcycle,da0c15b9,0.20416700000000002,0.9375,0.06875,0.9984379999999999
ef14626d95f156e5_m04yx4_b16fe811.png,ef14626d95f156e5,ef14626d95f156e5.jpg,/m/04yx4,Man,b16fe811,0.025,0.997917,0.11875,0.9984379999999999
e96fe1c5acf48a98_m01bl7v_6ca37e47.png,e96fe1c5acf48a98,e96fe1c5acf48a98.jpg,/m/01bl7v,Boy,6ca37e47,0.43333299999999997,0.997917,0.125,0.9984379999999999
